DEBUG 2020-11-09 19:09:07,919 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.Users.Dto.UserDto
DEBUG 2020-11-09 19:09:07,919 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.Sessions.Dto.TenantLoginInfoDto
DEBUG 2020-11-09 19:09:07,919 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.Sessions.Dto.UserLoginInfoDto
DEBUG 2020-11-09 19:09:07,920 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.Roles.Dto.PermissionDto
DEBUG 2020-11-09 19:09:07,920 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.MultiTenancy.Dto.CreateTenantDto
DEBUG 2020-11-09 19:09:07,920 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.MultiTenancy.Dto.TenantDto
DEBUG 2020-11-09 19:09:07,920 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.Web.Views.Shared.Components.TenantChange.TenantChangeViewModel
DEBUG 2020-11-09 19:09:07,920 [1    ] Abp.AutoMapper.AbpAutoMapperModule       - Armut.Web.Models.Roles.EditRoleModalViewModel
INFO  2020-11-09 19:09:14,984 [1    ] tCore.Builder.RequestLocalizationOptions - Supported Request Localization Cultures: en,es-MX,fr,de,it,nl,pt-BR,tr,ru,ar,ja,zh-Hans
INFO  2020-11-09 19:09:16,088 [1    ] taProtection.KeyManagement.XmlKeyManager - User profile is available. Using 'C:\Users\Lenova\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
INFO  2020-11-09 19:09:16,214 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/  
INFO  2020-11-09 19:09:16,303 [7    ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2020-11-09 19:09:16,496 [7    ] uthorization.DefaultAuthorizationService - Authorization failed.
INFO  2020-11-09 19:09:16,505 [7    ] tion.Cookies.CookieAuthenticationHandler - AuthenticationScheme: Identity.Application was challenged.
INFO  2020-11-09 19:09:16,526 [7    ] Microsoft.AspNetCore.Hosting.Diagnostics - Request finished in 312.2805ms 302 
INFO  2020-11-09 19:09:16,543 [10   ] Microsoft.AspNetCore.Hosting.Diagnostics - Request starting HTTP/1.1 GET http://localhost:62114/Account/Login?ReturnUrl=%2F  
INFO  2020-11-09 19:09:16,550 [10   ] tion.Cookies.CookieAuthenticationHandler - Identity.Application was not authenticated. Failure message: Unprotect ticket failed
INFO  2020-11-09 19:09:16,554 [10   ] ft.AspNetCore.Routing.EndpointMiddleware - Executing endpoint 'Armut.Web.Controllers.AccountController.Login (Armut.Web.Mvc)'
INFO  2020-11-09 19:09:21,034 [10   ] c.Infrastructure.ControllerActionInvoker - Route matched with {action = "Login", controller = "Account", area = ""}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult Login(System.String, System.String, System.String) on controller Armut.Web.Controllers.AccountController (Armut.Web.Mvc).
INFO  2020-11-09 19:09:24,832 [10   ] c.Infrastructure.ControllerActionInvoker - Executing action method Armut.Web.Controllers.AccountController.Login (Armut.Web.Mvc) - Validation state: Valid
INFO  2020-11-09 19:09:24,845 [10   ] c.Infrastructure.ControllerActionInvoker - Executed action method Armut.Web.Controllers.AccountController.Login (Armut.Web.Mvc), returned result Microsoft.AspNetCore.Mvc.ViewResult in 4.6083ms.
INFO  2020-11-09 19:09:25,142 [7    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executing ViewResult, running view Login.
INFO  2020-11-09 19:09:26,229 [7    ] Core.Mvc.ViewFeatures.ViewResultExecutor - Executed ViewResult - view Login executed in 1151.2856ms.
INFO  2020-11-09 19:09:26,237 [7    ] c.Infrastructure.ControllerActionInvoker - Executed action Armut.Web.Controllers.AccountController.Login (Armut.Web.Mvc) in 5199.4026ms
INFO  2020-11-09 19:09:26,241 [7    ] ft.AspNetCore.Routing.EndpointMiddleware - Executed endpoint 'Armut.Web.Controllers.AccountController.Login (Armut.Web.Mvc)'
